id,text,user_name,user_location,sentiment,created,housemate
1,RT @katedavies914: Im not condoning #cbbkim behaviour but the skanky bunch of wannabe fame whores in there bar #cbbjamesc are defo goadingâ€_,Ellabellatwits8,The Dug Out,NA,2017-01-20T04:54:17,No name
2,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,diwashpokhrel,,NA,2017-01-20T04:54:21,No name
4,"RT @AdoringGinaRio: Us last week: ""Ugh #CBB is so boring! We need some drama!""Kim Woodburn: https://t.co/bZJ1sUU6ll",fatimasahmed,London/Manchester,NA,2017-01-20T04:54:43,No name
5,"2-1 on the profitable day!3U Dayton -12 _Ÿ’°2U Portland State +2 _Ÿ’°1U Hofstra -3.5 âùŒ#SportsBetting #CBB",Legendary_Coup,,NA,2017-01-20T04:54:45,No name
6,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,Gow0408,,NA,2017-01-20T04:54:51,No name
7,RT @CBigBrotherUK: When Kim Woodburn said that she never looks for troubleâ€_ #CBBÂ . https://t.co/20u6EYlzoj,fatimasahmed,London/Manchester,NA,2017-01-20T04:55:05,No name
8,"RT @joerumney96: Nicola: *sigh*Kim: SHUT UP BITCH! YOU'RE THE CAUSE OF ALL THIS. YOU CHICKEN LIVER SHIT. I'LL GIVE YOU TROUBLE LUVVâ€_ ",fatimasahmed,London/Manchester,NA,2017-01-20T04:55:11,No name
9,#CBB CBBUK wait _Ÿ˜‚_Ÿ˜‚_Ÿ’€_Ÿ’€ Big Brother asked #CBBCALUM if he got any assistance in his package,teamjuju365,Instagram.com/teamjuju365,NA,2017-01-20T04:55:15,No name
10,Kim Woodburn screams at topless Jamie O'Hara as security drag her out of CBB https://t.co/JQ5SoRPBeq https://t.co/1XT6VZH5oE,smansari53,Islamabad + Karachi Pakistan,NA,2017-01-20T04:55:55,No name
11,RT @GaCameronGa: Kim Woodburn has made #CBB this year _Ÿ˜‚_Ÿ˜‚ #DontStartWithMeLovie https://t.co/2RE7rzKpS6,fatimasahmed,London/Manchester,NA,2017-01-20T04:56:06,No name
12,RT @pink_m1lk: #cbb #cbbkim I'm in tears https://t.co/DPALMIpbRg,donaldljoseph,Paris/Dallas,NA,2017-01-20T04:56:21,No name
13,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,jeypii1,,NA,2017-01-20T04:56:21,No name
14,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,srkazziozimho,,NA,2017-01-20T04:56:47,No name
15,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,UrieMichael,,NA,2017-01-20T04:57:14,No name
16,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,AlexDy18,,NA,2017-01-20T04:57:15,No name
17,"@bbuk sometimes your tasks and costumes are just unnecessary and childish. pls improve and grow as a show, not humiliate. its not funny #cbb",JustineJT,____kualalumpur (malaysia)____,NA,2017-01-20T04:57:30,No name
18,RT @Jackjevs: Fire in the Park ft Kim #cbb #STORMZY #KimWoodburn #shutup https://t.co/WqMjd2sq4L,BilalAz123,London/Leicester/Dubai,NA,2017-01-20T04:57:49,No name
19,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,LaliNayeli,,NA,2017-01-20T04:58:00,No name
20,RT @RyanJL: Theresa May's alternate Brexit speech #CBB https://t.co/jGl850yT95,BilalAz123,London/Leicester/Dubai,NA,2017-01-20T04:58:23,No name
21,"RT @Dutonis: #cbb #CBBBOTS #KimWoodburn Nicola McClean: How can everyone else be wrong, but you are right?Kim Woodburn: Well they crucifiâ€_",fatimasahmed,London/Manchester,NA,2017-01-20T04:58:30,No name
22,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,RayRay215,Philly,NA,2017-01-20T04:58:51,No name
23,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,TeaRose382004,,NA,2017-01-20T04:58:58,No name
24,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,jonh_caba,,NA,2017-01-20T04:59:32,No name
25,"RT @HopenLifePress: REVIEW of @DrBrianKiczek's devotional book HELP FOR SUFFERING HUMANITY-MARY HELP OF CHRISTIANS, by @cathbookbloggerâ€_ ",1SilvaMaria,The Power of One âˆ_,NA,2017-01-20T05:00:00,No name
26,RT @SimonSFranklin: When you start making #KimWoodburn memes and can't stop! Haha #ChickenLiveredBugger #CBB https://t.co/YLVrMQCX23,fatimasahmed,London/Manchester,NA,2017-01-20T05:00:03,No name
27,"""It's like...green for Ireland. The land of shamrocks and Enya"" _Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚ @planetjedward #CbbJedward #Cbb",DGAFkevin,Chicago,NA,2017-01-20T05:00:07,No name
28,#CBB #CBBUK this episode is _Ÿ’€_Ÿ’€_Ÿ’€ #CBBBianca is hilarious in this fly challenge_Ÿ’€,teamjuju365,Instagram.com/teamjuju365,NA,2017-01-20T05:00:09,No name
29,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,shyneyo2,quezon city,NA,2017-01-20T05:00:10,No name
30,RT @KyleBPedley: This is my absolute favourite _Ÿ˜‚_Ÿ˜‚ #KimWoodburn #CBB https://t.co/wYtggn3GtZ,fatimasahmed,London/Manchester,NA,2017-01-20T05:00:54,No name
31,"_Ÿè€CBB Thursday 1/19_Ÿè€_Ÿ”_Stanford -3 2nd Half",JayKrier,"Denver, CO",NA,2017-01-20T05:01:00,No name
32,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,number7373733,,NA,2017-01-20T05:01:05,No name
